MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T08472,Cefuroxim 100 mg (Viên nén - Lot 758),Cefuroxim 100 mg (Vien nen - Lot 758),Tuýp,21830
T08473,Cefuroxim 10 mg (Stada - Lot 458),Cefuroxim 10 mg (Stada - Lot 458),Gói,230520
T08474,Hạ Sốt 10 mg (Viên nén - Lot 184),Ha Sot 10 mg (Vien nen - Lot 184),Chai,454810
T08475,Fluconazole 100 mg (Domesco - Lot 179),Fluconazole 100 mg (Domesco - Lot 179),Ống tiêm,64100
T08476,Omeprazole 500 mg (Stada - Lot 800),Omeprazole 500 mg (Stada - Lot 800),Chai,153270
T08477,Fluconazole 500 mg (Viên nén - Lot 646),Fluconazole 500 mg (Vien nen - Lot 646),Chai,257020
T08478,Levothyroxine 500 mg (Stada - Lot 881),Levothyroxine 500 mg (Stada - Lot 881),Viên nang,56970
T08479,Aspirin 1000 IU (Stada - Lot 352),Aspirin 1000 IU (Stada - Lot 352),Hộp,283240
T08480,Cefuroxim 250 mg (Stada - Lot 240),Cefuroxim 250 mg (Stada - Lot 240),Viên nang,408140
T08481,Prednisolone 100 mg (Stada - Lot 175),Prednisolone 100 mg (Stada - Lot 175),Chai,394370
T08482,Paracetamol 10 mg (Mekophar - Lot 815),Paracetamol 10 mg (Mekophar - Lot 815),Hộp,186190
T08483,Giảm Đau 5 mg (Domesco - Lot 136),Giam Dau 5 mg (Domesco - Lot 136),Viên nén,167550
T08484,Furosemide 100 mg (Stada - Lot 611),Furosemide 100 mg (Stada - Lot 611),Hộp,457010
T08485,Chống Viêm 5 mg (Stada - Lot 715),Chong Viem 5 mg (Stada - Lot 715),Chai,161740
T08486,Levothyroxine 500 mg (Viên nén - Lot 806),Levothyroxine 500 mg (Vien nen - Lot 806),Tuýp,13510
T08487,Chống Viêm 5 mg (Mekophar - Lot 572),Chong Viem 5 mg (Mekophar - Lot 572),Gói,128060
T08488,Loratadine 500 mg (Stada - Lot 386),Loratadine 500 mg (Stada - Lot 386),Viên nang,316710
T08489,Atorvastatin 100 mg (Mekophar - Lot 972),Atorvastatin 100 mg (Mekophar - Lot 972),Hộp,37640
T08490,Doxycycline 250 mg (Viên nén - Lot 539),Doxycycline 250 mg (Vien nen - Lot 539),Tuýp,108240
T08491,Atorvastatin 500 mg (Domesco - Lot 373),Atorvastatin 500 mg (Domesco - Lot 373),Tuýp,249060
T08492,Pantoprazole 5 mg (Stada - Lot 659),Pantoprazole 5 mg (Stada - Lot 659),Ống tiêm,227980
T08493,Ibuprofen 100 mg (Viên nén - Lot 633),Ibuprofen 100 mg (Vien nen - Lot 633),Viên nén,443410
T08494,Prednisolone 5 ml (Mekophar - Lot 714),Prednisolone 5 ml (Mekophar - Lot 714),Gói,45030
T08495,Pantoprazole 500 mg (Mekophar - Lot 387),Pantoprazole 500 mg (Mekophar - Lot 387),Tuýp,448460
T08496,Losartan 1000 IU (Stada - Lot 542),Losartan 1000 IU (Stada - Lot 542),Gói,443750
T08497,Giảm Đau 5 ml (Mekophar - Lot 901),Giam Dau 5 ml (Mekophar - Lot 901),Ống tiêm,311220
T08498,Hạ Sốt 5 ml (Mekophar - Lot 339),Ha Sot 5 ml (Mekophar - Lot 339),Viên nén,15610
T08499,Chống Viêm 250 mg (Stada - Lot 440),Chong Viem 250 mg (Stada - Lot 440),Viên nang,243580
T08500,Paracetamol 1000 IU (Domesco - Lot 915),Paracetamol 1000 IU (Domesco - Lot 915),Viên nang,459110
T08501,Losartan 250 mg (Viên nén - Lot 232),Losartan 250 mg (Vien nen - Lot 232),Hộp,260210
T08502,Loratadine 5 ml (Viên nén - Lot 595),Loratadine 5 ml (Vien nen - Lot 595),Tuýp,119410
T08503,Diclofenac 500 mg (Stada - Lot 393),Diclofenac 500 mg (Stada - Lot 393),Tuýp,458150
T08504,Captopril 5 mg (Mekophar - Lot 650),Captopril 5 mg (Mekophar - Lot 650),Chai,176170
T08505,Loratadine 250 mg (Stada - Lot 336),Loratadine 250 mg (Stada - Lot 336),Viên nén,316580
T08506,Pantoprazole 5 mg (Mekophar - Lot 376),Pantoprazole 5 mg (Mekophar - Lot 376),Viên nang,122400
T08507,Atorvastatin 1000 IU (Stada - Lot 311),Atorvastatin 1000 IU (Stada - Lot 311),Viên nang,48880
T08508,Paracetamol 250 mg (Mekophar - Lot 498),Paracetamol 250 mg (Mekophar - Lot 498),Viên nén,37050
T08509,Amoxicillin 100 mg (Viên nén - Lot 205),Amoxicillin 100 mg (Vien nen - Lot 205),Hộp,451350
T08510,Chống Viêm 100 mg (Viên nén - Lot 299),Chong Viem 100 mg (Vien nen - Lot 299),Chai,27660
T08511,Ibuprofen 5 mg (Stada - Lot 623),Ibuprofen 5 mg (Stada - Lot 623),Viên nang,416330
T08512,Prednisolone 10 mg (Viên nén - Lot 293),Prednisolone 10 mg (Vien nen - Lot 293),Viên nén,443630
T08513,Atorvastatin 100 mg (Viên nén - Lot 642),Atorvastatin 100 mg (Vien nen - Lot 642),Chai,350030
T08514,Fluconazole 100 mg (Mekophar - Lot 600),Fluconazole 100 mg (Mekophar - Lot 600),Viên nang,81380
T08515,Ibuprofen 5 ml (Domesco - Lot 265),Ibuprofen 5 ml (Domesco - Lot 265),Ống tiêm,106360
T08516,Loratadine 1000 IU (Stada - Lot 753),Loratadine 1000 IU (Stada - Lot 753),Tuýp,147620
T08517,Chống Viêm 250 mg (Domesco - Lot 838),Chong Viem 250 mg (Domesco - Lot 838),Chai,414420
T08518,Losartan 250 mg (Stada - Lot 181),Losartan 250 mg (Stada - Lot 181),Viên nén,72090
T08519,Doxycycline 100 mg (Stada - Lot 189),Doxycycline 100 mg (Stada - Lot 189),Gói,51120
T08520,Hạ Sốt 500 mg (Domesco - Lot 277),Ha Sot 500 mg (Domesco - Lot 277),Viên nén,479020
T08521,Vitamin C 250 mg (Domesco - Lot 551),Vitamin C 250 mg (Domesco - Lot 551),Chai,78310
T08522,Ibuprofen 1000 IU (Mekophar - Lot 686),Ibuprofen 1000 IU (Mekophar - Lot 686),Viên nén,354490
T08523,Fluconazole 1000 IU (Mekophar - Lot 346),Fluconazole 1000 IU (Mekophar - Lot 346),Tuýp,473720
T08524,Losartan 500 mg (Stada - Lot 642),Losartan 500 mg (Stada - Lot 642),Ống tiêm,33770
T08525,Chống Viêm 100 mg (Mekophar - Lot 750),Chong Viem 100 mg (Mekophar - Lot 750),Viên nén,466360
T08526,Paracetamol 5 ml (Domesco - Lot 426),Paracetamol 5 ml (Domesco - Lot 426),Tuýp,151730
T08527,Omeprazole 500 mg (Domesco - Lot 826),Omeprazole 500 mg (Domesco - Lot 826),Chai,241860
T08528,Cefuroxim 10 mg (Viên nén - Lot 361),Cefuroxim 10 mg (Vien nen - Lot 361),Chai,419400
T08529,Chống Viêm 5 mg (Domesco - Lot 515),Chong Viem 5 mg (Domesco - Lot 515),Viên nang,20610
T08530,Pantoprazole 500 mg (Mekophar - Lot 119),Pantoprazole 500 mg (Mekophar - Lot 119),Gói,215940
T08531,Captopril 5 mg (Mekophar - Lot 330),Captopril 5 mg (Mekophar - Lot 330),Viên nang,48920
T08532,Diclofenac 5 mg (Stada - Lot 738),Diclofenac 5 mg (Stada - Lot 738),Tuýp,211800
T08533,Atorvastatin 10 mg (Mekophar - Lot 782),Atorvastatin 10 mg (Mekophar - Lot 782),Ống tiêm,329620
T08534,Paracetamol 10 mg (Domesco - Lot 550),Paracetamol 10 mg (Domesco - Lot 550),Tuýp,26610
T08535,Doxycycline 100 mg (Domesco - Lot 755),Doxycycline 100 mg (Domesco - Lot 755),Tuýp,498130
T08536,Losartan 100 mg (Viên nén - Lot 526),Losartan 100 mg (Vien nen - Lot 526),Ống tiêm,478000
T08537,Diazepam 5 ml (Stada - Lot 524),Diazepam 5 ml (Stada - Lot 524),Tuýp,107090
T08538,Cefuroxim 500 mg (Viên nén - Lot 764),Cefuroxim 500 mg (Vien nen - Lot 764),Viên nén,482520
T08539,Doxycycline 5 mg (Stada - Lot 225),Doxycycline 5 mg (Stada - Lot 225),Ống tiêm,457430
T08540,Ibuprofen 5 ml (Domesco - Lot 704),Ibuprofen 5 ml (Domesco - Lot 704),Tuýp,392320
T08541,Paracetamol 10 mg (Viên nén - Lot 399),Paracetamol 10 mg (Vien nen - Lot 399),Viên nén,408090
T08542,Losartan 500 mg (Mekophar - Lot 694),Losartan 500 mg (Mekophar - Lot 694),Tuýp,111030
T08543,Paracetamol 5 mg (Stada - Lot 516),Paracetamol 5 mg (Stada - Lot 516),Gói,330900
T08544,Omeprazole 100 mg (Viên nén - Lot 465),Omeprazole 100 mg (Vien nen - Lot 465),Hộp,16150
T08545,Chống Viêm 100 mg (Viên nén - Lot 566),Chong Viem 100 mg (Vien nen - Lot 566),Ống tiêm,218240
T08546,Chống Viêm 250 mg (Mekophar - Lot 211),Chong Viem 250 mg (Mekophar - Lot 211),Ống tiêm,185980
T08547,Cefuroxim 1000 IU (Domesco - Lot 125),Cefuroxim 1000 IU (Domesco - Lot 125),Chai,120640
T08548,Captopril 500 mg (Stada - Lot 276),Captopril 500 mg (Stada - Lot 276),Gói,490110
T08549,Fluconazole 100 mg (Mekophar - Lot 137),Fluconazole 100 mg (Mekophar - Lot 137),Tuýp,461510
T08550,Captopril 1000 IU (Viên nén - Lot 953),Captopril 1000 IU (Vien nen - Lot 953),Tuýp,169770
T08551,Diclofenac 100 mg (Mekophar - Lot 542),Diclofenac 100 mg (Mekophar - Lot 542),Viên nang,37590
T08552,Aspirin 5 ml (Stada - Lot 752),Aspirin 5 ml (Stada - Lot 752),Viên nang,347800
T08553,Pantoprazole 1000 IU (Domesco - Lot 314),Pantoprazole 1000 IU (Domesco - Lot 314),Viên nén,418590
T08554,Aspirin 100 mg (Stada - Lot 932),Aspirin 100 mg (Stada - Lot 932),Chai,364170
T08555,Ibuprofen 5 mg (Mekophar - Lot 852),Ibuprofen 5 mg (Mekophar - Lot 852),Viên nang,135000
T08556,Paracetamol 1000 IU (Mekophar - Lot 855),Paracetamol 1000 IU (Mekophar - Lot 855),Hộp,77420
T08557,Prednisolone 5 mg (Mekophar - Lot 565),Prednisolone 5 mg (Mekophar - Lot 565),Ống tiêm,324350
T08558,Levothyroxine 500 mg (Mekophar - Lot 123),Levothyroxine 500 mg (Mekophar - Lot 123),Chai,346550
T08559,Metformin 5 ml (Mekophar - Lot 670),Metformin 5 ml (Mekophar - Lot 670),Ống tiêm,325390
T08560,Prednisolone 500 mg (Mekophar - Lot 589),Prednisolone 500 mg (Mekophar - Lot 589),Ống tiêm,398310
T08561,Furosemide 5 mg (Viên nén - Lot 666),Furosemide 5 mg (Vien nen - Lot 666),Hộp,43300
T08562,Cefuroxim 250 mg (Viên nén - Lot 182),Cefuroxim 250 mg (Vien nen - Lot 182),Ống tiêm,428620
T08563,Metformin 1000 IU (Domesco - Lot 155),Metformin 1000 IU (Domesco - Lot 155),Viên nén,366790
T08564,Cefuroxim 250 mg (Domesco - Lot 619),Cefuroxim 250 mg (Domesco - Lot 619),Viên nang,77710
T08565,Diclofenac 1000 IU (Domesco - Lot 402),Diclofenac 1000 IU (Domesco - Lot 402),Gói,189540
T08566,Diclofenac 5 ml (Mekophar - Lot 995),Diclofenac 5 ml (Mekophar - Lot 995),Chai,268120
T08567,Amoxicillin 5 ml (Viên nén - Lot 281),Amoxicillin 5 ml (Vien nen - Lot 281),Viên nén,313770
T08568,Cefuroxim 100 mg (Mekophar - Lot 244),Cefuroxim 100 mg (Mekophar - Lot 244),Chai,382490
T08569,Levothyroxine 100 mg (Stada - Lot 612),Levothyroxine 100 mg (Stada - Lot 612),Hộp,438720
T08570,Prednisolone 500 mg (Mekophar - Lot 750),Prednisolone 500 mg (Mekophar - Lot 750),Tuýp,355460
T08571,Aspirin 1000 IU (Viên nén - Lot 700),Aspirin 1000 IU (Vien nen - Lot 700),Tuýp,382640
T08572,Chống Viêm 1000 IU (Mekophar - Lot 758),Chong Viem 1000 IU (Mekophar - Lot 758),Ống tiêm,232660
T08573,Ibuprofen 10 mg (Viên nén - Lot 567),Ibuprofen 10 mg (Vien nen - Lot 567),Hộp,124180
T08574,Vitamin C 100 mg (Viên nén - Lot 389),Vitamin C 100 mg (Vien nen - Lot 389),Tuýp,495200
T08575,Paracetamol 5 ml (Domesco - Lot 632),Paracetamol 5 ml (Domesco - Lot 632),Tuýp,7260
T08576,Amoxicillin 250 mg (Mekophar - Lot 965),Amoxicillin 250 mg (Mekophar - Lot 965),Ống tiêm,150190
T08577,Giảm Đau 1000 IU (Mekophar - Lot 328),Giam Dau 1000 IU (Mekophar - Lot 328),Hộp,312970
T08578,Diazepam 250 mg (Domesco - Lot 907),Diazepam 250 mg (Domesco - Lot 907),Viên nang,412070
T08579,Prednisolone 1000 IU (Stada - Lot 252),Prednisolone 1000 IU (Stada - Lot 252),Viên nén,440440
T08580,Furosemide 5 ml (Stada - Lot 743),Furosemide 5 ml (Stada - Lot 743),Chai,92130
T08581,Vitamin C 250 mg (Stada - Lot 488),Vitamin C 250 mg (Stada - Lot 488),Gói,35880
T08582,Giảm Đau 5 mg (Mekophar - Lot 690),Giam Dau 5 mg (Mekophar - Lot 690),Viên nén,182980
T08583,Diazepam 250 mg (Mekophar - Lot 598),Diazepam 250 mg (Mekophar - Lot 598),Ống tiêm,255320
T08584,Atorvastatin 250 mg (Stada - Lot 300),Atorvastatin 250 mg (Stada - Lot 300),Viên nén,97490
T08585,Atorvastatin 5 mg (Domesco - Lot 616),Atorvastatin 5 mg (Domesco - Lot 616),Viên nén,461860
T08586,Vitamin C 100 mg (Viên nén - Lot 708),Vitamin C 100 mg (Vien nen - Lot 708),Gói,305320
T08587,Cefuroxim 250 mg (Viên nén - Lot 129),Cefuroxim 250 mg (Vien nen - Lot 129),Chai,332660
T08588,Losartan 1000 IU (Stada - Lot 694),Losartan 1000 IU (Stada - Lot 694),Gói,276440
T08589,Aspirin 1000 IU (Mekophar - Lot 864),Aspirin 1000 IU (Mekophar - Lot 864),Tuýp,5660
T08590,Chống Viêm 10 mg (Viên nén - Lot 497),Chong Viem 10 mg (Vien nen - Lot 497),Viên nén,28290
T08591,Prednisolone 5 ml (Viên nén - Lot 281),Prednisolone 5 ml (Vien nen - Lot 281),Tuýp,287360
T08592,Loratadine 500 mg (Viên nén - Lot 410),Loratadine 500 mg (Vien nen - Lot 410),Gói,376460
T08593,Pantoprazole 1000 IU (Viên nén - Lot 492),Pantoprazole 1000 IU (Vien nen - Lot 492),Gói,321190
T08594,Fluconazole 250 mg (Mekophar - Lot 937),Fluconazole 250 mg (Mekophar - Lot 937),Chai,393290
T08595,Loratadine 5 ml (Stada - Lot 982),Loratadine 5 ml (Stada - Lot 982),Hộp,194200
T08596,Paracetamol 100 mg (Mekophar - Lot 950),Paracetamol 100 mg (Mekophar - Lot 950),Tuýp,23920
T08597,Fluconazole 5 mg (Domesco - Lot 281),Fluconazole 5 mg (Domesco - Lot 281),Chai,366020
T08598,Atorvastatin 10 mg (Stada - Lot 579),Atorvastatin 10 mg (Stada - Lot 579),Chai,237820
T08599,Captopril 10 mg (Stada - Lot 810),Captopril 10 mg (Stada - Lot 810),Viên nang,362090
T08600,Metformin 10 mg (Stada - Lot 934),Metformin 10 mg (Stada - Lot 934),Gói,436710
T08601,Losartan 100 mg (Mekophar - Lot 150),Losartan 100 mg (Mekophar - Lot 150),Viên nén,392830
T08602,Aspirin 10 mg (Stada - Lot 780),Aspirin 10 mg (Stada - Lot 780),Gói,128690
T08603,Atorvastatin 1000 IU (Stada - Lot 732),Atorvastatin 1000 IU (Stada - Lot 732),Gói,106940
T08604,Losartan 1000 IU (Domesco - Lot 391),Losartan 1000 IU (Domesco - Lot 391),Viên nén,431880
T08605,Loratadine 250 mg (Domesco - Lot 854),Loratadine 250 mg (Domesco - Lot 854),Viên nang,167510
T08606,Losartan 250 mg (Mekophar - Lot 975),Losartan 250 mg (Mekophar - Lot 975),Ống tiêm,269610
T08607,Furosemide 500 mg (Domesco - Lot 966),Furosemide 500 mg (Domesco - Lot 966),Chai,305120
T08608,Diclofenac 1000 IU (Stada - Lot 486),Diclofenac 1000 IU (Stada - Lot 486),Ống tiêm,418060
T08609,Amoxicillin 250 mg (Domesco - Lot 361),Amoxicillin 250 mg (Domesco - Lot 361),Hộp,476670
T08610,Paracetamol 5 mg (Mekophar - Lot 264),Paracetamol 5 mg (Mekophar - Lot 264),Viên nén,134610
T08611,Levothyroxine 100 mg (Domesco - Lot 634),Levothyroxine 100 mg (Domesco - Lot 634),Chai,302750
T08612,Diazepam 500 mg (Mekophar - Lot 785),Diazepam 500 mg (Mekophar - Lot 785),Gói,468350
T08613,Loratadine 5 ml (Domesco - Lot 898),Loratadine 5 ml (Domesco - Lot 898),Viên nén,259410
T08614,Diazepam 10 mg (Stada - Lot 826),Diazepam 10 mg (Stada - Lot 826),Hộp,144500
T08615,Giảm Đau 500 mg (Domesco - Lot 572),Giam Dau 500 mg (Domesco - Lot 572),Chai,466320
T08616,Giảm Đau 500 mg (Stada - Lot 785),Giam Dau 500 mg (Stada - Lot 785),Viên nang,284870
T08617,Paracetamol 10 mg (Mekophar - Lot 386),Paracetamol 10 mg (Mekophar - Lot 386),Gói,126860
T08618,Ibuprofen 100 mg (Mekophar - Lot 917),Ibuprofen 100 mg (Mekophar - Lot 917),Chai,487840
T08619,Ibuprofen 100 mg (Domesco - Lot 868),Ibuprofen 100 mg (Domesco - Lot 868),Hộp,324500
T08620,Losartan 100 mg (Mekophar - Lot 440),Losartan 100 mg (Mekophar - Lot 440),Ống tiêm,408580
T08621,Furosemide 10 mg (Viên nén - Lot 437),Furosemide 10 mg (Vien nen - Lot 437),Hộp,274480
T08622,Cefuroxim 500 mg (Mekophar - Lot 188),Cefuroxim 500 mg (Mekophar - Lot 188),Tuýp,31800
T08623,Atorvastatin 100 mg (Stada - Lot 929),Atorvastatin 100 mg (Stada - Lot 929),Gói,14950
T08624,Captopril 5 ml (Domesco - Lot 793),Captopril 5 ml (Domesco - Lot 793),Viên nén,422140
T08625,Chống Viêm 1000 IU (Stada - Lot 740),Chong Viem 1000 IU (Stada - Lot 740),Gói,31590
T08626,Loratadine 5 mg (Mekophar - Lot 448),Loratadine 5 mg (Mekophar - Lot 448),Viên nén,499410
T08627,Cefuroxim 1000 IU (Mekophar - Lot 355),Cefuroxim 1000 IU (Mekophar - Lot 355),Gói,494110
T08628,Giảm Đau 1000 IU (Stada - Lot 858),Giam Dau 1000 IU (Stada - Lot 858),Gói,303910
T08629,Paracetamol 250 mg (Viên nén - Lot 575),Paracetamol 250 mg (Vien nen - Lot 575),Tuýp,357040
T08630,Losartan 10 mg (Stada - Lot 941),Losartan 10 mg (Stada - Lot 941),Viên nén,481710
T08631,Ibuprofen 500 mg (Viên nén - Lot 658),Ibuprofen 500 mg (Vien nen - Lot 658),Tuýp,212880
T08632,Vitamin C 100 mg (Domesco - Lot 975),Vitamin C 100 mg (Domesco - Lot 975),Ống tiêm,388000
T08633,Atorvastatin 1000 IU (Viên nén - Lot 878),Atorvastatin 1000 IU (Vien nen - Lot 878),Hộp,191430
T08634,Aspirin 5 mg (Domesco - Lot 286),Aspirin 5 mg (Domesco - Lot 286),Ống tiêm,295050
T08635,Pantoprazole 5 mg (Viên nén - Lot 943),Pantoprazole 5 mg (Vien nen - Lot 943),Ống tiêm,178090
T08636,Hạ Sốt 500 mg (Stada - Lot 395),Ha Sot 500 mg (Stada - Lot 395),Viên nang,463620
T08637,Pantoprazole 100 mg (Mekophar - Lot 839),Pantoprazole 100 mg (Mekophar - Lot 839),Hộp,379050
T08638,Pantoprazole 100 mg (Viên nén - Lot 365),Pantoprazole 100 mg (Vien nen - Lot 365),Viên nang,92260
T08639,Diazepam 5 mg (Stada - Lot 562),Diazepam 5 mg (Stada - Lot 562),Tuýp,355070
T08640,Paracetamol 250 mg (Viên nén - Lot 880),Paracetamol 250 mg (Vien nen - Lot 880),Gói,489720
T08641,Aspirin 5 ml (Mekophar - Lot 697),Aspirin 5 ml (Mekophar - Lot 697),Chai,88930
T08642,Diclofenac 5 ml (Domesco - Lot 140),Diclofenac 5 ml (Domesco - Lot 140),Ống tiêm,223380
T08643,Diclofenac 10 mg (Stada - Lot 182),Diclofenac 10 mg (Stada - Lot 182),Hộp,207410
T08644,Ibuprofen 5 mg (Viên nén - Lot 317),Ibuprofen 5 mg (Vien nen - Lot 317),Ống tiêm,288150
T08645,Chống Viêm 5 mg (Domesco - Lot 802),Chong Viem 5 mg (Domesco - Lot 802),Hộp,338500
T08646,Captopril 100 mg (Domesco - Lot 524),Captopril 100 mg (Domesco - Lot 524),Ống tiêm,497750
T08647,Cefuroxim 500 mg (Stada - Lot 266),Cefuroxim 500 mg (Stada - Lot 266),Gói,444360
T08648,Ibuprofen 5 mg (Domesco - Lot 623),Ibuprofen 5 mg (Domesco - Lot 623),Viên nén,114700
T08649,Losartan 250 mg (Viên nén - Lot 218),Losartan 250 mg (Vien nen - Lot 218),Gói,276410
T08650,Aspirin 5 mg (Mekophar - Lot 256),Aspirin 5 mg (Mekophar - Lot 256),Viên nang,304290
T08651,Captopril 100 mg (Viên nén - Lot 196),Captopril 100 mg (Vien nen - Lot 196),Viên nén,317750
T08652,Doxycycline 100 mg (Viên nén - Lot 484),Doxycycline 100 mg (Vien nen - Lot 484),Ống tiêm,189520
T08653,Giảm Đau 10 mg (Domesco - Lot 510),Giam Dau 10 mg (Domesco - Lot 510),Tuýp,205910
T08654,Diclofenac 100 mg (Domesco - Lot 921),Diclofenac 100 mg (Domesco - Lot 921),Viên nang,478880
T08655,Captopril 100 mg (Mekophar - Lot 806),Captopril 100 mg (Mekophar - Lot 806),Viên nang,269170
T08656,Furosemide 10 mg (Viên nén - Lot 300),Furosemide 10 mg (Vien nen - Lot 300),Ống tiêm,408480
T08657,Pantoprazole 1000 IU (Viên nén - Lot 250),Pantoprazole 1000 IU (Vien nen - Lot 250),Viên nén,404850
T08658,Amoxicillin 1000 IU (Stada - Lot 806),Amoxicillin 1000 IU (Stada - Lot 806),Viên nang,384620
T08659,Atorvastatin 5 ml (Domesco - Lot 120),Atorvastatin 5 ml (Domesco - Lot 120),Viên nén,373960
T08660,Vitamin C 5 ml (Viên nén - Lot 269),Vitamin C 5 ml (Vien nen - Lot 269),Tuýp,353550
T08661,Losartan 1000 IU (Viên nén - Lot 553),Losartan 1000 IU (Vien nen - Lot 553),Hộp,498350
T08662,Vitamin C 500 mg (Stada - Lot 139),Vitamin C 500 mg (Stada - Lot 139),Gói,377870
T08663,Aspirin 10 mg (Mekophar - Lot 738),Aspirin 10 mg (Mekophar - Lot 738),Chai,472430
T08664,Fluconazole 100 mg (Viên nén - Lot 475),Fluconazole 100 mg (Vien nen - Lot 475),Ống tiêm,248830
T08665,Furosemide 1000 IU (Domesco - Lot 872),Furosemide 1000 IU (Domesco - Lot 872),Viên nang,28530
T08666,Furosemide 250 mg (Mekophar - Lot 334),Furosemide 250 mg (Mekophar - Lot 334),Viên nén,13060
T08667,Ibuprofen 10 mg (Viên nén - Lot 587),Ibuprofen 10 mg (Vien nen - Lot 587),Gói,312200
T08668,Diazepam 100 mg (Mekophar - Lot 449),Diazepam 100 mg (Mekophar - Lot 449),Tuýp,422220
T08669,Paracetamol 250 mg (Stada - Lot 465),Paracetamol 250 mg (Stada - Lot 465),Viên nén,492470
T08670,Vitamin C 500 mg (Mekophar - Lot 564),Vitamin C 500 mg (Mekophar - Lot 564),Viên nang,297820
T08671,Chống Viêm 100 mg (Mekophar - Lot 725),Chong Viem 100 mg (Mekophar - Lot 725),Viên nang,297680
T08672,Chống Viêm 100 mg (Mekophar - Lot 493),Chong Viem 100 mg (Mekophar - Lot 493),Viên nén,231710
T08673,Prednisolone 100 mg (Domesco - Lot 972),Prednisolone 100 mg (Domesco - Lot 972),Gói,467120
T08674,Captopril 500 mg (Stada - Lot 181),Captopril 500 mg (Stada - Lot 181),Viên nang,95390
T08675,Aspirin 500 mg (Domesco - Lot 215),Aspirin 500 mg (Domesco - Lot 215),Tuýp,220440
T08676,Giảm Đau 5 ml (Mekophar - Lot 145),Giam Dau 5 ml (Mekophar - Lot 145),Tuýp,346900
T08677,Hạ Sốt 5 mg (Viên nén - Lot 227),Ha Sot 5 mg (Vien nen - Lot 227),Viên nang,212070
T08678,Fluconazole 500 mg (Viên nén - Lot 660),Fluconazole 500 mg (Vien nen - Lot 660),Gói,196960
T08679,Captopril 5 ml (Viên nén - Lot 944),Captopril 5 ml (Vien nen - Lot 944),Ống tiêm,86590
T08680,Doxycycline 500 mg (Viên nén - Lot 400),Doxycycline 500 mg (Vien nen - Lot 400),Hộp,481250
T08681,Losartan 5 mg (Stada - Lot 707),Losartan 5 mg (Stada - Lot 707),Gói,247980
T08682,Paracetamol 10 mg (Mekophar - Lot 241),Paracetamol 10 mg (Mekophar - Lot 241),Gói,303060
T08683,Levothyroxine 250 mg (Domesco - Lot 916),Levothyroxine 250 mg (Domesco - Lot 916),Ống tiêm,157580
T08684,Metformin 5 ml (Stada - Lot 719),Metformin 5 ml (Stada - Lot 719),Chai,80260
T08685,Amoxicillin 500 mg (Viên nén - Lot 444),Amoxicillin 500 mg (Vien nen - Lot 444),Hộp,399490
T08686,Chống Viêm 5 ml (Stada - Lot 459),Chong Viem 5 ml (Stada - Lot 459),Viên nén,478350
T08687,Paracetamol 100 mg (Domesco - Lot 215),Paracetamol 100 mg (Domesco - Lot 215),Viên nén,482350
T08688,Levothyroxine 250 mg (Mekophar - Lot 318),Levothyroxine 250 mg (Mekophar - Lot 318),Tuýp,237040
T08689,Giảm Đau 5 mg (Stada - Lot 723),Giam Dau 5 mg (Stada - Lot 723),Hộp,189810
T08690,Aspirin 5 ml (Domesco - Lot 436),Aspirin 5 ml (Domesco - Lot 436),Gói,112170
T08691,Diclofenac 250 mg (Domesco - Lot 297),Diclofenac 250 mg (Domesco - Lot 297),Chai,8620
T08692,Diazepam 100 mg (Domesco - Lot 500),Diazepam 100 mg (Domesco - Lot 500),Gói,116620
T08693,Hạ Sốt 5 ml (Stada - Lot 630),Ha Sot 5 ml (Stada - Lot 630),Hộp,389880
T08694,Diazepam 5 mg (Viên nén - Lot 137),Diazepam 5 mg (Vien nen - Lot 137),Viên nén,177240
T08695,Ibuprofen 500 mg (Viên nén - Lot 811),Ibuprofen 500 mg (Vien nen - Lot 811),Viên nang,345040
T08696,Chống Viêm 500 mg (Domesco - Lot 607),Chong Viem 500 mg (Domesco - Lot 607),Viên nang,92340
T08697,Chống Viêm 5 mg (Stada - Lot 217),Chong Viem 5 mg (Stada - Lot 217),Gói,43040
T08698,Omeprazole 5 ml (Mekophar - Lot 748),Omeprazole 5 ml (Mekophar - Lot 748),Viên nang,379500
T08699,Diclofenac 10 mg (Stada - Lot 553),Diclofenac 10 mg (Stada - Lot 553),Viên nén,53110
T08700,Chống Viêm 5 mg (Viên nén - Lot 995),Chong Viem 5 mg (Vien nen - Lot 995),Hộp,52520
T08701,Diazepam 100 mg (Viên nén - Lot 483),Diazepam 100 mg (Vien nen - Lot 483),Viên nang,79640
T08702,Ibuprofen 250 mg (Mekophar - Lot 625),Ibuprofen 250 mg (Mekophar - Lot 625),Viên nang,496020
T08703,Fluconazole 5 mg (Domesco - Lot 359),Fluconazole 5 mg (Domesco - Lot 359),Chai,390950
T08704,Levothyroxine 5 mg (Viên nén - Lot 839),Levothyroxine 5 mg (Vien nen - Lot 839),Gói,163010
T08705,Amoxicillin 500 mg (Mekophar - Lot 750),Amoxicillin 500 mg (Mekophar - Lot 750),Viên nén,157780
T08706,Diazepam 100 mg (Domesco - Lot 282),Diazepam 100 mg (Domesco - Lot 282),Viên nang,262690
